EventTitle,URL
Dos Anjos vs Alvarez,https://www.ufc.com/event/ufc-fight-night-las-vegas-july-2016
MacDonald vs Thompson,https://www.ufc.com/event/ufc-fight-night-ottawa
Rockhold vs Bisping 2,https://www.ufc.com/event/ufc-199
Almeida vs Garbrandt,https://www.ufc.com/event/ufc-fight-night-las-vegas-may-2016
Werdum vs Miocic,https://www.ufc.com/event/ufc-198
Overeem vs Arlovski,https://www.ufc.com/event/ufc-fight-night-rotterdam-2016
Jones vs Saint Preux,https://www.ufc.com/event/ufc-197
Teixeira vs Evans,https://www.ufc.com/event/ufc-fight-night-tampa
Rothwell vs Dos Santos,https://www.ufc.com/event/ufc-fight-night-zagreb-2016
Hunt vs Mir,https://www.ufc.com/event/ufc-fight-night-brisbane-2016
McGregor vs Diaz,https://www.ufc.com/event/ufc-196
Silva vs Bisping,https://www.ufc.com/event/ufc-fight-night-london-2016
Cowboy vs Cowboy,https://www.ufc.com/event/ufc-fight-night-pittsburgh-2016
Hendricks vs Thompson,https://www.ufc.com/event/fight-night-hendricks-vs-thompson
Johnson vs Bader,https://www.ufc.com/event/ufc-fight-night-new-jersey
Dillashaw vs Cruz,https://www.ufc.com/event/ufc-fight-night-boston-2016
Lawler vs Condit,https://www.ufc.com/event/ufc-195
Dos Anjos vs Cowboy 2,https://www.ufc.com/event/ufc-fight-night-orlando-2015
Aldo vs McGregor,https://www.ufc.com/event/ufc-194
Team McGregor vs Teab Faber,https://www.ufc.com/event/the-ultimate-fighter-finale-team-mcgregor-team-faber
Namajunas vs VanZant,https://www.ufc.com/event/ufc-fight-night-las-vegas-2015
Henderson vs Masvidal,https://www.ufc.com/event/ufc-fight-night-seoul-south-korea-2015
Magny vs Gastelum,https://www.ufc.com/event/ufc-fight-night-monterrey-mexico-2015
Rousey vs Holm,https://www.ufc.com/event/ufc-193
Belfort vs Henderson,https://www.ufc.com/event/ufc-fight-night-sao-paulo-2015
Holohan vs Smolka,https://www.ufc.com/event/ufc-fight-night-dublin-2015
Cormier vs Gustafsson,https://www.ufc.com/event/ufc-192
Barnett vs Nelson,https://www.ufc.com/event/ufc-fight-night-140
Johnson vs Dodson 2,https://www.ufc.com/event/ufc-191
Holloway vs Oliveira,https://www.ufc.com/event/ufc-fight-night-saskatoon-canada-2015
Teixeira vs Saint Preux,https://www.ufc.com/event/ufc-fight-night-nashville-2015
Rousey vs Correia,https://www.ufc.com/event/ufc-190
Dillashaw vs Barao 2,https://www.ufc.com/event/ufc-fight-night-chicago-2015
Bisping vs Leites,https://www.ufc.com/event/ufc-fight-night-glasgow-2015
Mir vs Duffee,https://www.ufc.com/event/ufc-fight-night-san-diego-2015
American Top Team vs. Blackzilians,https://www.ufc.com/event/the-ultimate-fighter-team-att-team-blackzilians
Mendes vs McGregor,https://www.ufc.com/event/ufc-189
Machida vs Romero,https://www.ufc.com/event/ufc-fight-night-hollywood-florida-2015
Jedrzejczyk vs Penne,https://www.ufc.com/event/ufc-fight-night-berlin-germany-2015
Velasquez vs Werdum,https://www.ufc.com/event/ufc-188
Boetsch vs Henderson,https://www.ufc.com/event/ufc-fight-night-new-orleans-2015
Condit vs Alves,https://www.ufc.com/event/ufc-fight-night-goiania-2015
Johnson vs Cormier,https://www.ufc.com/event/ufc-187
Edgar vs Faber,https://www.ufc.com/event/ufc-fight-night-29
Miocic vs Hunt,https://www.ufc.com/event/ufc-fight-night-adelaide-australia-2015
Johnson vs Horiguchi,https://www.ufc.com/event/ufc-186
Machida vs Rockhold,https://www.ufc.com/event/ufc-fight-night-newark-new-jersey
Gonzaga vs Cro Cop 2,https://www.ufc.com/event/ufc-fight-night-krakow-poland-2015
Mendes vs Lamas,https://www.ufc.com/event/ufc-fight-night-fairfax-2015
Maia vs LaFlare,https://www.ufc.com/event/ufc-fight-night-rio-de-janeiro-2015
Pettis vs Dos Anjos,https://www.ufc.com/event/ufc-185
Rousey vs Zingano,https://www.ufc.com/event/ufc-184
Bigfoot vs Mir,https://www.ufc.com/event/ufc-fight-night-porto-alegre
Henderson vs Thatch,https://www.ufc.com/event/ufc-fight-night-broomfield
Silva vs Diaz,https://www.ufc.com/event/ufc-183
Gustafsson vs Johnson,https://www.ufc.com/event/ufc-fight-night-stockholm-sweden
McGregor vs Siver,https://www.ufc.com/event/ufc-fight-night-boston-2015
Jones vs Cormier,https://www.ufc.com/event/ufc-182
Machida vs Dollaway,https://www.ufc.com/event/ufc-fight-night-barueri
Dos Santos vs Miocic,https://www.ufc.com/event/ufc-fight-night-phoenix
